,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
1,RT @IndiainToronto: Thousands participated in morning session of #IDY2017 celebration at #Toronto with @yogrishiramdev imparting Yoga knowl…,FALSE,0,NA,6/21/2017 02:40,FALSE,NA,8.82066E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",AyamAtmaBrahm,61,TRUE,FALSE,NA,NA
2,RT @IndiainToronto: Closing of #IDY2017 by 2 top Yoga Masters @yogrishiramdev &amp; Sister Shivani @BrahmaKumaris together at #Toronto @dineshb…,FALSE,0,NA,6/21/2017 02:40,FALSE,NA,8.82066E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",AyamAtmaBrahm,53,TRUE,FALSE,NA,NA
3,"RT @ArtofLivingYoga: #IDYWithArtofliving Celebrations in Sinnar, Maharashtra, India with more than 1500 students doing yoga #IDY2017 https:…",FALSE,0,NA,6/21/2017 02:39,FALSE,NA,8.82066E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kalp_kakran,31,TRUE,FALSE,NA,NA
4,RT @ArtofLivingYoga: #IDYwithArtofLiving Celebrations in the Czech Republic #IDY2017 https://t.co/O82hGcUlzv,FALSE,0,NA,6/21/2017 02:39,FALSE,NA,8.82066E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kalp_kakran,41,TRUE,FALSE,NA,NA
5,RT @Swamiparamtej: Thousands joined at #RioDeJaneiro #Brazil #IYD2017 - #YogaDay with #ArtOfLiving.  @narendramodi @SushmaSwaraj @indiainbr…,FALSE,0,NA,6/21/2017 02:37,FALSE,NA,8.82066E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kalp_kakran,80,TRUE,FALSE,NA,NA
6,RT @Gurmeetramrahim: Four Generations of my family came together to celebrate #InternationalYogaDay. Huge applaud to PM @narendramodi Ji fo…,FALSE,0,NA,6/21/2017 02:35,FALSE,NA,8.82065E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ahimanshu113,31884,TRUE,FALSE,NA,NA
7,"RT @cgimelbourne: Spreading Yoga to the world in our another #IDY2017 event in partnership wd #S2AschoolofYoga &amp; @CityWhittlesea

@HCICanbe…",FALSE,0,NA,6/21/2017 02:33,FALSE,NA,8.82065E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AbhiRaut9,4,TRUE,FALSE,NA,NA
8,RT @cgisydney: International Day of Yoga @ Martin Place @cityofsydney by @ArtofLiving supported by @cgisydney #IDY2017 #YogaDay #IndiaAustr…,FALSE,0,NA,6/21/2017 02:33,FALSE,NA,8.82065E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kalp_kakran,19,TRUE,FALSE,NA,NA
9,"RT @swamijaataveda: #IDY2017 celebrations in Warsaw #Poland on 25th June. Over 20,000 people joined the festival. #IDYwithArtofLiving https…",FALSE,0,NA,6/21/2017 02:32,FALSE,NA,8.82065E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kalp_kakran,81,TRUE,FALSE,NA,NA
10,RT @Gurmeetramrahim: Four Generations of my family came together to celebrate #InternationalYogaDay. Huge applaud to PM @narendramodi Ji fo…,FALSE,0,NA,6/21/2017 02:31,FALSE,NA,8.82064E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Hardeep88644035,31884,TRUE,FALSE,NA,NA
11,RT @Gurmeetramrahim: Four Generations of my family came together to celebrate #InternationalYogaDay. Huge applaud to PM @narendramodi Ji fo…,FALSE,0,NA,6/21/2017 02:30,FALSE,NA,8.82064E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Mahabir10235175,31884,TRUE,FALSE,NA,NA
12,"RT @cgimelbourne: Spreading Yoga to the world in our another #IDY2017 event in partnership wd #S2AschoolofYoga &amp; @CityWhittlesea

@HCICanbe…",FALSE,0,NA,6/21/2017 02:30,FALSE,NA,8.82064E+17,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",KirkhamRicky,4,TRUE,FALSE,NA,NA
13,"Practicing yoga regularly keeps your health on track,while investing systematically... #InternationalYogaDay… https://t.co/CQI4sttxsk",FALSE,0,NA,6/21/2017 02:30,TRUE,NA,8.82064E+17,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",invest_catalyst,0,FALSE,FALSE,NA,NA
14,RT @KamleshBarwal: Must watch amazing video of Gurudev @SriSri ji's visit to Himachal Pradesh during #IDY2017  #YogaDay2017 @moayush  https…,FALSE,0,NA,6/21/2017 02:29,FALSE,NA,8.82064E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",mkavita05,16,TRUE,FALSE,NA,NA
15,RT @IndiainToronto: Closing of #IDY2017 by 2 top Yoga Masters @yogrishiramdev &amp; Sister Shivani @BrahmaKumaris together at #Toronto @dineshb…,FALSE,0,NA,6/21/2017 02:28,FALSE,NA,8.82063E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Rahulpr77635810,53,TRUE,FALSE,NA,NA
16,RT @IndiainToronto: Closing of #IDY2017 by 2 top Yoga Masters @yogrishiramdev &amp; Sister Shivani @BrahmaKumaris together at #Toronto @dineshb…,FALSE,0,NA,6/21/2017 02:27,FALSE,NA,8.82063E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",amolagirhe,53,TRUE,FALSE,NA,NA
17,"RT @cgimelbourne: Spreading Yoga to the world in our another #IDY2017 event in partnership wd #S2AschoolofYoga &amp; @CityWhittlesea

@HCICanbe…",FALSE,0,NA,6/21/2017 02:24,FALSE,NA,8.82062E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",IndianDiplomacy,4,TRUE,FALSE,NA,NA
18,"RT @ArtofLiving: Himachal Pradesh experiences #yoga with Gurudev @SriSri.
Watch - https://t.co/C2Xq4D3X3B #IDYwithArtofLiving #YogaDay",FALSE,0,NA,6/21/2017 02:22,FALSE,NA,8.82062E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",naveenchandel4,31,TRUE,FALSE,NA,NA
19,RT @KamleshBarwal: Must watch amazing video of Gurudev @SriSri ji's visit to Himachal Pradesh during #IDY2017  #YogaDay2017 @moayush  https…,FALSE,0,NA,6/21/2017 02:22,FALSE,NA,8.82062E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",naveenchandel4,16,TRUE,FALSE,NA,NA
